City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vila franca do campo,37.7167,-25.4333,22.23,79,19,1.14,PT,1691358638
83,carlsbad,33.1581,-117.3506,38.73,68,0,4.63,US,1691358384
84,qaqortoq,60.7167,-46.0333,5.98,88,23,1.88,GL,1691358639
85,west island,-12.1568,96.8225,24.99,94,40,3.09,CC,1691358639
86,port mathurin,-19.6833,63.4167,22.6,59,79,10.27,MU,1691358640
87,vung tau,10.346,107.0843,26.52,86,10,6.1,VN,1691358640
88,st. john's,47.5649,-52.7093,16.49,95,100,4.63,CA,1691358366
89,selebi-phikwe,-21.979,27.8498,13.63,59,1,2.33,BW,1691358366
90,holualoa,19.6228,-155.9522,27.1,71,20,4.12,US,1691358641
91,enewetak,11.3474,162.3373,28.62,73,94,3.88,MH,1691358642
92,thompson,55.7435,-97.8558,18.09,68,75,5.66,CA,1691358642
93,ghadamis,30.1337,9.5007,31.66,24,0,6.7,LY,1691358642
94,nikolayevsk-on-amure,53.1406,140.73,19.2,51,34,2.26,RU,1691358643
95,piti village,13.4626,144.6933,27.49,94,75,2.06,GU,1691358643
96,port saint john's,-31.6229,29.5448,17.79,79,2,5.06,ZA,1691358644
97,nova vicosa,-17.8919,-39.3719,22.16,75,22,3.79,BR,1691358644
98,beauvais,49.4167,2.0,15.14,82,0,4.63,FR,1691358644
99,baharly,38.4362,57.4316,31.2,31,0,0.33,TM,1691358645
100,port blair,11.6667,92.75,27.66,83,100,7.73,IN,1691358645
101,stanley,54.868,-1.6985,11.14,88,20,0.0,GB,1691358646
102,east london,-33.0153,27.9116,18.23,77,99,5.89,ZA,1691358646
103,vorkuta,67.5,64.0,16.18,98,100,2.44,RU,1691358646
104,fortuna,40.5982,-124.1573,23.29,75,0,7.72,US,1691358647
105,praia da vitoria,38.7333,-27.0667,24.14,83,40,3.44,PT,1691358647
106,bodo,67.28,14.405,13.02,76,0,2.06,NO,1691358648
107,port elizabeth,-33.918,25.5701,14.16,82,0,3.6,ZA,1691358648
108,volchikha,52.0333,80.3833,15.01,90,51,2.52,RU,1691358649
109,mollendo,-17.0231,-72.0147,17.82,80,25,3.55,PE,1691358434
110,haizhou,34.5817,119.1289,22.2,84,21,3.43,CN,1691358650
111,walvis bay,-22.9575,14.5053,14.53,77,0,1.54,NA,1691358651
112,amuntai,-2.4177,115.2494,22.77,97,25,0.66,ID,1691358652
113,haiku-pauwela,20.9219,-156.3051,30.01,58,40,10.29,US,1691358652
114,ribeira grande,38.5167,-28.7,22.1,84,54,1.79,PT,1691358546
115,tindouf,27.6711,-8.1474,36.25,15,0,4.12,DZ,1691358653
116,miahuatlan de porfirio diaz,16.3333,-96.6,25.65,56,49,2.19,MX,1691358654
117,inhambane,-23.865,35.3833,17.98,76,0,2.03,MZ,1691358654
118,vorgashor,67.5833,63.95,16.06,98,100,2.38,RU,1691358655
119,green river,41.5286,-109.4662,23.22,38,10,2.24,US,1691358655
120,mazagao,-0.115,-51.2894,31.03,72,38,3.07,BR,1691358655
121,querqueville,49.6625,-1.6912,13.82,94,0,4.12,FR,1691358656
122,tura,25.5198,90.2201,24.01,99,100,1.3,IN,1691358656
123,bubaque,11.2833,-15.8333,26.67,83,100,7.54,GW,1691358657
124,santander,43.4647,-3.8044,19.7,72,100,2.06,ES,1691358657
125,sant lluis,39.8526,4.2594,23.22,56,20,4.63,ES,1691358657
126,waingapu,-9.6567,120.2641,22.74,84,4,5.64,ID,1691358490
127,waddan,29.1614,16.139,27.22,44,0,6.08,LY,1691358658
128,alice springs,-23.7,133.8833,3.75,87,0,0.0,AU,1691358659
129,osorio,-29.8867,-50.2697,19.68,76,0,1.69,BR,1691358659
130,bemidji,47.4736,-94.8803,27.88,55,40,3.6,US,1691358659
131,palmer,42.1584,-72.3287,29.02,49,40,3.6,US,1691358660
132,howrah,22.5892,88.3103,29.0,84,75,3.6,IN,1691358660
133,georgetown,5.4112,100.3354,26.96,95,20,1.03,MY,1691358382
134,basco,20.4487,121.9702,27.8,88,100,11.88,PH,1691358661
135,bredasdorp,-34.5322,20.0403,9.94,95,0,1.41,ZA,1691358661
136,montevideo,-34.8335,-56.1674,15.46,85,100,4.63,UY,1691358595
137,recani,31.2846,-4.2688,36.26,11,10,3.96,MA,1691358662
138,ebon,4.582,168.6964,28.69,74,51,3.29,MH,1691358663
139,kidal,18.4411,1.4078,28.16,52,95,7.55,ML,1691358552
140,avarua,-21.2078,-159.775,23.03,88,100,4.63,CK,1691358663
141,coquimbo,-29.9533,-71.3436,17.85,55,20,5.14,CL,1691358664
142,kerikeri,-35.2268,173.9474,12.17,95,100,1.44,NZ,1691358664
143,ancud,-41.8697,-73.8203,6.4,86,12,2.89,CL,1691358666
144,uturoa,-16.7333,-151.4333,25.92,78,46,5.5,PF,1691358666
145,tweed heads,-28.1817,153.547,16.67,78,40,5.14,AU,1691358666
146,tazovsky,67.4667,78.7,13.32,62,15,2.52,RU,1691358667
147,ilulissat,69.2167,-51.1,6.31,55,21,2.21,GL,1691358667
148,olonkinbyen,70.9221,-8.7187,3.6,88,100,10.17,SJ,1691358668
149,ola,59.5833,151.2833,11.75,56,92,7.16,RU,1691358668
150,kone,-21.0595,164.8658,20.74,65,82,2.26,NC,1691358668
151,rundu,-17.9333,19.7667,12.9,34,0,2.89,NA,1691358669
152,sangueya,10.7,-14.3667,24.0,95,99,1.89,GN,1691358669
153,tsiombe,-25.3,45.4833,17.5,84,0,3.37,MG,1691358669
154,tateyama,34.9833,139.8667,26.41,87,17,2.94,JP,1691358429
155,karasuk,53.7377,78.0403,14.71,67,0,3.8,RU,1691358670
156,sechura,-5.5569,-80.8222,26.52,58,11,7.88,PE,1691358671
157,lihue,21.9789,-159.3672,30.77,64,20,5.66,US,1691358671
158,qazigund,33.6333,75.15,17.55,87,28,0.4,IN,1691358671
159,piacabucu,-10.4056,-36.4344,23.56,86,60,4.35,BR,1691358672
160,nemuro,43.3236,145.575,14.63,98,100,5.65,JP,1691358609
161,tralee,52.2704,-9.7026,11.81,89,32,2.17,IE,1691358673
162,hermanus,-34.4187,19.2345,9.89,88,0,3.45,ZA,1691358673
163,isafjordur,66.0755,-23.124,10.85,55,17,2.59,IS,1691358673
164,rio grande,-32.035,-52.0986,26.06,82,0,3.78,BR,1691358674
165,hami,42.8,93.45,27.91,17,64,2.6,CN,1691358674
166,uporovo,56.3109,66.2693,17.75,87,45,2.83,RU,1691358675
167,mahina,-17.5065,-149.489,27.87,65,40,5.14,PF,1691358675
168,ponta delgada,37.7333,-25.6667,22.4,78,20,3.09,PT,1691358639
169,sao gabriel da cachoeira,-0.1303,-67.0892,27.62,78,96,0.77,BR,1691358676
170,prince rupert,54.3161,-130.3201,22.05,78,40,3.09,CA,1691358677
171,mount pearl,47.5166,-52.7813,16.03,95,100,4.63,CA,1691358428
172,djambala,-2.5447,14.7533,23.25,54,32,2.57,CG,1691358678
173,richards bay,-28.783,32.0377,17.08,82,0,3.38,ZA,1691358420
174,misliyah,17.4599,42.5572,30.67,64,3,1.57,SA,1691358679
175,konarka,19.9,86.1167,28.22,77,100,5.22,IN,1691358679
176,papantla de olarte,20.45,-97.3167,31.61,59,16,5.63,MX,1691358680
177,tiksi,71.6872,128.8694,7.56,56,65,1.63,RU,1691358680
178,aykhal,66.0,111.5,12.44,56,100,3.49,RU,1691358536
179,kingston,17.997,-76.7936,33.47,70,20,11.83,JM,1691358681
180,hithadhoo,-0.6,73.0833,27.65,75,71,2.27,MV,1691358681
181,chipinge,-20.1883,32.6236,11.63,90,8,1.74,ZW,1691358682
182,oranjemund,-28.55,16.4333,12.72,84,0,2.63,NA,1691358602
183,egilsstadir,65.2653,-14.3948,7.95,87,40,4.12,IS,1691358683
184,lincoln city,44.9582,-124.0179,29.92,75,43,3.58,US,1691358683
